Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.892E+03,9.966E-01,3.311E-05,1.000E+00,1.699E-06,1.000E+00
2.893E+03,1.001E+00,3.216E-05,1.000E+00,1.654E-06,1.000E+00
2.894E+03,1.001E+00,3.124E-05,1.000E+00,1.610E-06,1.000E+00
2.895E+03,1.009E+00,3.036E-05,1.000E+00,1.568E-06,1.000E+00
2.896E+03,1.028E+00,2.951E-05,1.000E+00,1.527E-06,1.000E+00
2.897E+03,9.716E-01,2.870E-05,1.000E+00,1.489E-06,1.000E+00
2.898E+03,9.902E-01,2.792E-05,1.000E+00,1.451E-06,1.000E+00
2.899E+03,1.024E+00,2.718E-05,1.000E+00,1.415E-06,1.000E+00
2.900E+03,1.017E+00,2.647E-05,1.000E+00,1.381E-06,1.000E+00
2.901E+03,1.028E+00,2.577E-05,1.000E+00,1.348E-06,1.000E+00
2.902E+03,1.018E+00,2.511E-05,1.000E+00,1.315E-06,1.000E+00
2.903E+03,9.780E-01,2.448E-05,1.000E+00,1.284E-06,1.000E+00
2.904E+03,1.006E+00,2.386E-05,1.000E+00,1.254E-06,1.000E+00
2.905E+03,9.947E-01,2.327E-05,1.000E+00,1.225E-06,1.000E+00
2.906E+03,9.953E-01,2.271E-05,1.000E+00,1.198E-06,1.000E+00
2.907E+03,9.571E-01,2.216E-05,1.000E+00,1.171E-06,1.000E+00
2.908E+03,9.846E-01,2.164E-05,1.000E+00,1.145E-06,1.000E+00
2.909E+03,1.005E+00,2.113E-05,1.000E+00,1.120E-06,1.000E+00
2.910E+03,9.940E-01,2.064E-05,1.000E+00,1.095E-06,1.000E+00
2.911E+03,9.979E-01,2.016E-05,1.000E+00,1.071E-06,1.000E+00
2.912E+03,9.956E-01,1.970E-05,1.000E+00,1.049E-06,1.000E+00
2.913E+03,9.812E-01,1.926E-05,1.000E+00,1.026E-06,1.000E+00
2.914E+03,9.750E-01,1.883E-05,1.000E+00,1.005E-06,1.000E+00
2.915E+03,1.010E+00,1.842E-05,1.000E+00,9.844E-07,1.000E+00
2.916E+03,1.000E+00,1.801E-05,1.000E+00,9.640E-07,1.000E+00
2.917E+03,1.002E+00,1.763E-05,1.000E+00,9.447E-07,1.000E+00
2.918E+03,9.984E-01,1.725E-05,1.000E+00,9.258E-07,1.000E+00
2.919E+03,9.741E-01,1.689E-05,1.000E+00,9.074E-07,1.000E+00
2.920E+03,9.982E-01,1.654E-05,1.000E+00,8.896E-07,1.000E+00
2.921E+03,1.003E+00,1.619E-05,1.000E+00,8.721E-07,1.000E+00
2.922E+03,9.935E-01,1.586E-05,1.000E+00,8.553E-07,1.000E+00
