Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.893E+03,1.010E+00,5.406E-04,1.000E+00,1.019E-05,1.001E+00
2.894E+03,1.016E+00,5.251E-04,1.000E+00,9.920E-06,1.001E+00
2.895E+03,1.003E+00,5.103E-04,1.000E+00,9.662E-06,1.001E+00
2.896E+03,1.004E+00,4.960E-04,1.000E+00,9.412E-06,1.001E+00
2.897E+03,1.012E+00,4.824E-04,1.000E+00,9.173E-06,1.000E+00
2.898E+03,1.006E+00,4.694E-04,1.000E+00,8.944E-06,1.000E+00
2.899E+03,1.003E+00,4.568E-04,1.000E+00,8.723E-06,1.000E+00
2.900E+03,1.011E+00,4.449E-04,1.000E+00,8.512E-06,1.000E+00
2.901E+03,1.005E+00,4.332E-04,1.000E+00,8.305E-06,1.000E+00
2.902E+03,1.003E+00,4.221E-04,1.000E+00,8.107E-06,1.000E+00
2.903E+03,1.007E+00,4.114E-04,1.000E+00,7.916E-06,1.000E+00
2.904E+03,9.904E-01,4.011E-04,1.000E+00,7.732E-06,1.000E+00
2.905E+03,9.931E-01,3.912E-04,1.000E+00,7.554E-06,1.000E+00
2.906E+03,9.910E-01,3.817E-04,1.000E+00,7.382E-06,1.000E+00
2.907E+03,9.869E-01,3.726E-04,1.000E+00,7.218E-06,1.000E+00
2.908E+03,9.882E-01,3.637E-04,1.000E+00,7.057E-06,1.000E+00
2.909E+03,9.855E-01,3.551E-04,1.000E+00,6.902E-06,1.000E+00
2.910E+03,9.869E-01,3.469E-04,1.000E+00,6.752E-06,1.000E+00
2.911E+03,9.924E-01,3.388E-04,1.000E+00,6.605E-06,1.000E+00
2.912E+03,9.914E-01,3.312E-04,1.000E+00,6.466E-06,1.000E+00
2.913E+03,9.897E-01,3.237E-04,1.000E+00,6.328E-06,1.000E+00
2.914E+03,9.880E-01,3.165E-04,1.000E+00,6.196E-06,1.000E+00
2.915E+03,9.985E-01,3.096E-04,1.000E+00,6.070E-06,1.000E+00
2.916E+03,9.881E-01,3.028E-04,1.000E+00,5.944E-06,1.000E+00
2.917E+03,9.844E-01,2.963E-04,1.000E+00,5.825E-06,1.000E+00
2.918E+03,9.954E-01,2.900E-04,1.000E+00,5.709E-06,1.000E+00
2.919E+03,9.776E-01,2.839E-04,1.000E+00,5.596E-06,1.000E+00
2.920E+03,9.927E-01,2.780E-04,1.000E+00,5.486E-06,1.000E+00
2.921E+03,9.875E-01,2.722E-04,1.000E+00,5.378E-06,1.000E+00
2.922E+03,9.966E-01,2.666E-04,1.000E+00,5.275E-06,1.000E+00
