Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.835E+03,9.741E-01,1.886E-03,9.836E-01,1.370E-04,9.856E-01
2.835E+03,1.005E+00,1.830E-03,9.848E-01,1.345E-04,9.868E-01
2.835E+03,1.025E+00,1.778E-03,9.860E-01,1.320E-04,9.879E-01
2.835E+03,1.017E+00,1.728E-03,9.871E-01,1.296E-04,9.890E-01
2.835E+03,1.006E+00,1.682E-03,9.882E-01,1.272E-04,9.900E-01
2.835E+03,1.069E+00,1.637E-03,9.891E-01,1.249E-04,9.909E-01
2.835E+03,1.026E+00,1.594E-03,9.900E-01,1.227E-04,9.917E-01
2.836E+03,1.028E+00,1.556E-03,9.908E-01,1.207E-04,9.924E-01
2.836E+03,1.054E+00,1.517E-03,9.915E-01,1.186E-04,9.931E-01
2.836E+03,1.026E+00,1.479E-03,9.922E-01,1.165E-04,9.938E-01
2.836E+03,1.004E+00,1.443E-03,9.929E-01,1.145E-04,9.944E-01
2.836E+03,9.892E-01,1.406E-03,9.935E-01,1.124E-04,9.950E-01
2.836E+03,1.016E+00,1.372E-03,9.941E-01,1.105E-04,9.955E-01
2.836E+03,9.972E-01,1.340E-03,9.946E-01,1.087E-04,9.960E-01
2.837E+03,9.940E-01,1.311E-03,9.950E-01,1.070E-04,9.964E-01
2.837E+03,9.813E-01,1.280E-03,9.954E-01,1.052E-04,9.968E-01
2.837E+03,9.706E-01,1.251E-03,9.958E-01,1.035E-04,9.972E-01
2.837E+03,9.775E-01,1.221E-03,9.962E-01,1.017E-04,9.976E-01
2.837E+03,9.678E-01,1.194E-03,9.966E-01,1.001E-04,9.979E-01
2.837E+03,9.405E-01,1.168E-03,9.969E-01,9.850E-05,9.981E-01
2.838E+03,9.278E-01,1.144E-03,9.971E-01,9.705E-05,9.984E-01
2.838E+03,9.412E-01,1.117E-03,9.974E-01,9.542E-05,9.986E-01
2.838E+03,9.920E-01,1.094E-03,9.977E-01,9.393E-05,9.988E-01
2.838E+03,9.528E-01,1.070E-03,9.979E-01,9.248E-05,9.990E-01
2.838E+03,9.567E-01,1.050E-03,9.981E-01,9.116E-05,9.992E-01
2.838E+03,9.365E-01,1.028E-03,9.982E-01,8.977E-05,9.994E-01
2.838E+03,9.406E-01,1.005E-03,9.984E-01,8.832E-05,9.995E-01
2.839E+03,9.901E-01,9.849E-04,9.986E-01,8.700E-05,9.996E-01
2.839E+03,9.684E-01,9.663E-04,9.987E-01,8.579E-05,9.997E-01
2.839E+03,9.847E-01,9.458E-04,9.988E-01,8.444E-05,9.999E-01
2.839E+03,9.746E-01,9.272E-04,9.989E-01,8.320E-05,9.999E-01
2.839E+03,9.716E-01,9.102E-04,9.990E-01,8.207E-05,1.000E+00
2.839E+03,9.807E-01,8.914E-04,9.991E-01,8.080E-05,1.000E+00
2.839E+03,1.003E+00,8.743E-04,9.992E-01,7.964E-05,1.000E+00
2.840E+03,9.778E-01,8.588E-04,9.993E-01,7.858E-05,1.000E+00
2.840E+03,1.038E+00,8.416E-04,9.994E-01,7.740E-05,1.000E+00
2.840E+03,1.011E+00,8.259E-04,9.994E-01,7.631E-05,1.000E+00
2.840E+03,9.838E-01,8.116E-04,9.995E-01,7.532E-05,1.000E+00
2.840E+03,1.004E+00,7.958E-04,9.995E-01,7.420E-05,1.000E+00
2.840E+03,1.030E+00,7.823E-04,9.996E-01,7.325E-05,1.000E+00
2.841E+03,1.011E+00,7.672E-04,9.996E-01,7.218E-05,1.000E+00
2.841E+03,9.981E-01,7.536E-04,9.997E-01,7.120E-05,1.000E+00
2.841E+03,1.041E+00,7.411E-04,9.997E-01,7.030E-05,1.001E+00
2.841E+03,9.961E-01,7.272E-04,9.997E-01,6.930E-05,1.001E+00
2.842E+03,1.028E+00,6.488E-04,9.999E-01,6.349E-05,1.001E+00
2.843E+03,1.007E+00,5.823E-04,9.999E-01,5.837E-05,1.001E+00
2.844E+03,1.035E+00,5.260E-04,1.000E+00,5.390E-05,1.001E+00
2.845E+03,1.025E+00,4.770E-04,1.000E+00,4.988E-05,1.001E+00
2.846E+03,1.044E+00,4.341E-04,1.000E+00,4.626E-05,1.000E+00
2.847E+03,1.046E+00,3.974E-04,1.000E+00,4.308E-05,1.000E+00
2.848E+03,1.076E+00,3.649E-04,1.000E+00,4.019E-05,1.000E+00
2.849E+03,1.050E+00,3.359E-04,1.000E+00,3.755E-05,1.000E+00
2.850E+03,1.108E+00,3.104E-04,1.000E+00,3.519E-05,1.000E+00
2.851E+03,1.072E+00,2.880E-04,1.000E+00,3.307E-05,1.000E+00
2.852E+03,1.089E+00,2.677E-04,1.000E+00,3.111E-05,1.000E+00
2.853E+03,1.104E+00,2.495E-04,1.000E+00,2.933E-05,1.000E+00
2.854E+03,1.074E+00,2.329E-04,1.000E+00,2.767E-05,1.000E+00
2.855E+03,1.078E+00,2.180E-04,1.000E+00,2.617E-05,1.000E+00
2.856E+03,1.078E+00,2.046E-04,1.000E+00,2.478E-05,1.000E+00
2.857E+03,1.094E+00,1.923E-04,1.000E+00,2.351E-05,1.000E+00
2.858E+03,1.061E+00,1.811E-04,1.000E+00,2.233E-05,1.000E+00
2.859E+03,1.049E+00,1.710E-04,1.000E+00,2.124E-05,1.000E+00
2.860E+03,1.076E+00,1.616E-04,1.000E+00,2.023E-05,1.000E+00
2.861E+03,1.082E+00,1.528E-04,1.000E+00,1.927E-05,1.000E+00
2.862E+03,1.059E+00,1.449E-04,1.000E+00,1.840E-05,1.000E+00
2.863E+03,1.073E+00,1.375E-04,1.000E+00,1.758E-05,1.000E+00
2.864E+03,1.048E+00,1.307E-04,1.000E+00,1.680E-05,1.000E+00
2.865E+03,1.092E+00,1.243E-04,1.000E+00,1.609E-05,1.000E+00
2.866E+03,1.081E+00,1.185E-04,1.000E+00,1.541E-05,1.000E+00
2.867E+03,1.055E+00,1.130E-04,1.000E+00,1.479E-05,1.000E+00
2.868E+03,1.039E+00,1.079E-04,1.000E+00,1.419E-05,1.000E+00
2.869E+03,1.023E+00,1.031E-04,1.000E+00,1.363E-05,1.000E+00
2.870E+03,1.049E+00,9.871E-05,1.000E+00,1.311E-05,1.000E+00
2.871E+03,1.017E+00,9.449E-05,1.000E+00,1.261E-05,1.000E+00
2.872E+03,1.023E+00,9.062E-05,1.000E+00,1.214E-05,1.000E+00
2.873E+03,1.043E+00,8.694E-05,1.000E+00,1.170E-05,1.000E+00
2.874E+03,1.018E+00,8.348E-05,1.000E+00,1.128E-05,1.000E+00
2.875E+03,1.026E+00,8.020E-05,1.000E+00,1.088E-05,1.000E+00
2.876E+03,1.051E+00,7.716E-05,1.000E+00,1.051E-05,1.000E+00
2.877E+03,1.014E+00,7.423E-05,1.000E+00,1.015E-05,1.000E+00
2.878E+03,1.046E+00,7.152E-05,1.000E+00,9.810E-06,1.000E+00
2.879E+03,1.027E+00,6.891E-05,1.000E+00,9.484E-06,1.000E+00
2.880E+03,1.056E+00,6.649E-05,1.000E+00,9.180E-06,1.000E+00
2.881E+03,1.054E+00,6.414E-05,1.000E+00,8.884E-06,1.000E+00
2.882E+03,1.033E+00,6.196E-05,1.000E+00,8.609E-06,1.000E+00
2.883E+03,1.011E+00,5.985E-05,1.000E+00,8.340E-06,1.000E+00
2.884E+03,1.013E+00,5.788E-05,1.000E+00,8.089E-06,1.000E+00
2.885E+03,9.909E-01,5.597E-05,1.000E+00,7.845E-06,1.000E+00
2.886E+03,1.000E+00,5.419E-05,1.000E+00,7.616E-06,1.000E+00
2.887E+03,9.485E-01,5.246E-05,1.000E+00,7.392E-06,1.000E+00
2.888E+03,9.888E-01,5.085E-05,1.000E+00,7.182E-06,1.000E+00
2.889E+03,9.810E-01,4.927E-05,1.000E+00,6.977E-06,1.000E+00
2.890E+03,9.869E-01,4.780E-05,1.000E+00,6.785E-06,1.000E+00
2.891E+03,9.853E-01,4.636E-05,1.000E+00,6.597E-06,1.000E+00
2.892E+03,1.049E+00,4.501E-05,1.000E+00,6.418E-06,1.000E+00
2.893E+03,1.019E+00,4.372E-05,1.000E+00,6.248E-06,1.000E+00
2.894E+03,1.018E+00,4.247E-05,1.000E+00,6.083E-06,1.000E+00
2.895E+03,1.032E+00,4.128E-05,1.000E+00,5.925E-06,1.000E+00
2.896E+03,1.036E+00,4.013E-05,1.000E+00,5.771E-06,1.000E+00
2.897E+03,1.018E+00,3.903E-05,1.000E+00,5.624E-06,1.000E+00
2.898E+03,1.035E+00,3.798E-05,1.000E+00,5.483E-06,1.000E+00
2.899E+03,1.031E+00,3.697E-05,1.000E+00,5.348E-06,1.000E+00
2.900E+03,1.011E+00,3.601E-05,1.000E+00,5.218E-06,1.000E+00
2.901E+03,1.002E+00,3.507E-05,1.000E+00,5.091E-06,1.000E+00
2.902E+03,9.873E-01,3.417E-05,1.000E+00,4.969E-06,1.000E+00
2.903E+03,1.006E+00,3.331E-05,1.000E+00,4.852E-06,1.000E+00
2.904E+03,9.918E-01,3.248E-05,1.000E+00,4.739E-06,1.000E+00
2.905E+03,1.008E+00,3.168E-05,1.000E+00,4.630E-06,1.000E+00
2.906E+03,9.737E-01,3.091E-05,1.000E+00,4.524E-06,1.000E+00
2.907E+03,9.594E-01,3.017E-05,1.000E+00,4.423E-06,1.000E+00
2.908E+03,9.535E-01,2.946E-05,1.000E+00,4.325E-06,1.000E+00
2.909E+03,9.953E-01,2.877E-05,1.000E+00,4.230E-06,1.000E+00
2.910E+03,9.615E-01,2.810E-05,1.000E+00,4.137E-06,1.000E+00
2.911E+03,9.655E-01,2.745E-05,1.000E+00,4.047E-06,1.000E+00
2.912E+03,9.523E-01,2.683E-05,1.000E+00,3.962E-06,1.000E+00
2.913E+03,9.389E-01,2.622E-05,1.000E+00,3.878E-06,1.000E+00
2.914E+03,9.442E-01,2.564E-05,1.000E+00,3.797E-06,1.000E+00
2.915E+03,9.427E-01,2.509E-05,1.000E+00,3.719E-06,1.000E+00
2.916E+03,9.784E-01,2.454E-05,1.000E+00,3.642E-06,1.000E+00
2.917E+03,9.756E-01,2.402E-05,1.000E+00,3.569E-06,1.000E+00
2.918E+03,9.503E-01,2.351E-05,1.000E+00,3.498E-06,1.000E+00
2.919E+03,9.318E-01,2.301E-05,1.000E+00,3.428E-06,1.000E+00
2.920E+03,9.666E-01,2.253E-05,1.000E+00,3.361E-06,1.000E+00
2.921E+03,9.371E-01,2.207E-05,1.000E+00,3.295E-06,1.000E+00
2.922E+03,9.527E-01,2.162E-05,1.000E+00,3.231E-06,1.000E+00
