Energy (eV),XAS data (normalized),Edge peak fit (normalized),Spline + edge peak fit (normalized),Pre-edge peak fit (normalized),Sum of components (normalized)
2.835E+03,1.094E+00,1.554E-02,9.905E-01,3.315E-04,1.006E+00
2.835E+03,1.104E+00,1.512E-02,9.914E-01,3.257E-04,1.007E+00
2.835E+03,1.108E+00,1.472E-02,9.922E-01,3.200E-04,1.007E+00
2.836E+03,1.085E+00,1.436E-02,9.929E-01,3.149E-04,1.008E+00
2.836E+03,1.073E+00,1.399E-02,9.935E-01,3.095E-04,1.008E+00
2.836E+03,1.048E+00,1.363E-02,9.942E-01,3.042E-04,1.008E+00
2.836E+03,1.041E+00,1.328E-02,9.947E-01,2.991E-04,1.008E+00
2.836E+03,1.042E+00,1.293E-02,9.953E-01,2.937E-04,1.008E+00
2.836E+03,1.021E+00,1.261E-02,9.957E-01,2.889E-04,1.009E+00
2.836E+03,1.026E+00,1.230E-02,9.962E-01,2.841E-04,1.009E+00
2.837E+03,1.011E+00,1.202E-02,9.965E-01,2.798E-04,1.009E+00
2.837E+03,9.955E-01,1.173E-02,9.969E-01,2.753E-04,1.009E+00
2.837E+03,9.980E-01,1.146E-02,9.972E-01,2.709E-04,1.009E+00
2.837E+03,9.606E-01,1.117E-02,9.975E-01,2.663E-04,1.009E+00
2.837E+03,9.718E-01,1.091E-02,9.978E-01,2.621E-04,1.009E+00
2.837E+03,9.543E-01,1.067E-02,9.980E-01,2.579E-04,1.009E+00
2.838E+03,9.540E-01,1.044E-02,9.982E-01,2.542E-04,1.009E+00
2.838E+03,9.461E-01,1.019E-02,9.984E-01,2.500E-04,1.009E+00
2.838E+03,9.253E-01,9.967E-03,9.986E-01,2.462E-04,1.009E+00
2.838E+03,9.470E-01,9.749E-03,9.987E-01,2.425E-04,1.009E+00
2.838E+03,9.200E-01,9.553E-03,9.989E-01,2.390E-04,1.009E+00
2.838E+03,9.351E-01,9.348E-03,9.990E-01,2.355E-04,1.009E+00
2.838E+03,9.322E-01,9.137E-03,9.991E-01,2.317E-04,1.008E+00
2.839E+03,9.423E-01,8.946E-03,9.992E-01,2.283E-04,1.008E+00
2.839E+03,9.508E-01,8.772E-03,9.993E-01,2.252E-04,1.008E+00
2.839E+03,9.440E-01,8.580E-03,9.994E-01,2.217E-04,1.008E+00
2.839E+03,9.595E-01,8.406E-03,9.995E-01,2.185E-04,1.008E+00
2.839E+03,9.633E-01,8.248E-03,9.995E-01,2.156E-04,1.008E+00
2.839E+03,9.542E-01,8.073E-03,9.996E-01,2.123E-04,1.008E+00
2.839E+03,9.514E-01,7.914E-03,9.996E-01,2.093E-04,1.008E+00
2.840E+03,9.649E-01,7.769E-03,9.997E-01,2.066E-04,1.008E+00
2.840E+03,9.738E-01,7.609E-03,9.997E-01,2.035E-04,1.008E+00
2.840E+03,9.501E-01,7.463E-03,9.997E-01,2.007E-04,1.007E+00
2.840E+03,9.638E-01,7.330E-03,9.998E-01,1.981E-04,1.007E+00
2.840E+03,9.557E-01,7.183E-03,9.998E-01,1.952E-04,1.007E+00
2.840E+03,9.540E-01,7.058E-03,9.998E-01,1.928E-04,1.007E+00
2.841E+03,9.522E-01,6.919E-03,9.999E-01,1.900E-04,1.007E+00
2.841E+03,9.592E-01,6.792E-03,9.999E-01,1.874E-04,1.007E+00
2.841E+03,9.394E-01,6.677E-03,9.999E-01,1.851E-04,1.007E+00
2.841E+03,9.538E-01,6.549E-03,9.999E-01,1.825E-04,1.007E+00
2.842E+03,9.470E-01,5.826E-03,1.000E+00,1.674E-04,1.006E+00
2.843E+03,9.589E-01,5.215E-03,1.000E+00,1.541E-04,1.005E+00
2.844E+03,9.667E-01,4.701E-03,1.000E+00,1.424E-04,1.005E+00
2.845E+03,9.662E-01,4.254E-03,1.000E+00,1.320E-04,1.004E+00
2.846E+03,9.625E-01,3.865E-03,1.000E+00,1.225E-04,1.004E+00
2.847E+03,9.884E-01,3.532E-03,1.000E+00,1.142E-04,1.004E+00
2.848E+03,9.916E-01,3.238E-03,1.000E+00,1.066E-04,1.003E+00
2.849E+03,9.911E-01,2.977E-03,1.000E+00,9.968E-05,1.003E+00
2.850E+03,1.018E+00,2.748E-03,1.000E+00,9.348E-05,1.003E+00
2.851E+03,1.027E+00,2.547E-03,1.000E+00,8.789E-05,1.003E+00
2.852E+03,1.045E+00,2.365E-03,1.000E+00,8.274E-05,1.002E+00
2.853E+03,1.026E+00,2.202E-03,1.000E+00,7.803E-05,1.002E+00
2.854E+03,1.024E+00,2.053E-03,1.000E+00,7.367E-05,1.002E+00
2.855E+03,1.018E+00,1.921E-03,1.000E+00,6.971E-05,1.002E+00
2.856E+03,1.025E+00,1.801E-03,1.000E+00,6.605E-05,1.002E+00
2.857E+03,1.019E+00,1.691E-03,1.000E+00,6.268E-05,1.002E+00
2.858E+03,1.010E+00,1.592E-03,1.000E+00,5.955E-05,1.002E+00
2.859E+03,1.004E+00,1.502E-03,1.000E+00,5.669E-05,1.002E+00
2.860E+03,1.012E+00,1.418E-03,1.000E+00,5.399E-05,1.001E+00
2.861E+03,1.016E+00,1.341E-03,1.000E+00,5.147E-05,1.001E+00
2.862E+03,1.027E+00,1.271E-03,1.000E+00,4.916E-05,1.001E+00
2.863E+03,1.017E+00,1.205E-03,1.000E+00,4.698E-05,1.001E+00
2.864E+03,1.018E+00,1.145E-03,1.000E+00,4.492E-05,1.001E+00
2.865E+03,1.017E+00,1.089E-03,1.000E+00,4.301E-05,1.001E+00
2.866E+03,9.996E-01,1.037E-03,1.000E+00,4.123E-05,1.001E+00
2.867E+03,1.006E+00,9.889E-04,1.000E+00,3.957E-05,1.001E+00
2.868E+03,1.006E+00,9.439E-04,1.000E+00,3.799E-05,1.001E+00
2.869E+03,1.014E+00,9.015E-04,1.000E+00,3.649E-05,1.001E+00
2.870E+03,9.883E-01,8.626E-04,1.000E+00,3.510E-05,1.001E+00
2.871E+03,9.907E-01,8.255E-04,1.000E+00,3.376E-05,1.001E+00
2.872E+03,9.998E-01,7.914E-04,1.000E+00,3.253E-05,1.001E+00
2.873E+03,9.979E-01,7.590E-04,1.000E+00,3.135E-05,1.001E+00
2.874E+03,9.986E-01,7.286E-04,1.000E+00,3.023E-05,1.001E+00
2.875E+03,9.992E-01,6.997E-04,1.000E+00,2.916E-05,1.001E+00
2.876E+03,9.960E-01,6.730E-04,1.000E+00,2.817E-05,1.001E+00
2.877E+03,1.009E+00,6.474E-04,1.000E+00,2.721E-05,1.001E+00
2.878E+03,9.916E-01,6.236E-04,1.000E+00,2.631E-05,1.001E+00
2.879E+03,1.005E+00,6.006E-04,1.000E+00,2.544E-05,1.001E+00
2.880E+03,9.911E-01,5.794E-04,1.000E+00,2.463E-05,1.001E+00
2.881E+03,1.001E+00,5.588E-04,1.000E+00,2.384E-05,1.001E+00
2.882E+03,9.934E-01,5.397E-04,1.000E+00,2.311E-05,1.001E+00
2.883E+03,9.916E-01,5.212E-04,1.000E+00,2.239E-05,1.001E+00
2.884E+03,9.934E-01,5.040E-04,1.000E+00,2.172E-05,1.001E+00
2.885E+03,9.900E-01,4.873E-04,1.000E+00,2.106E-05,1.001E+00
2.886E+03,9.947E-01,4.717E-04,1.000E+00,2.045E-05,1.000E+00
2.887E+03,1.009E+00,4.565E-04,1.000E+00,1.985E-05,1.000E+00
2.888E+03,1.008E+00,4.424E-04,1.000E+00,1.929E-05,1.000E+00
2.889E+03,1.005E+00,4.286E-04,1.000E+00,1.875E-05,1.000E+00
2.890E+03,1.005E+00,4.157E-04,1.000E+00,1.823E-05,1.000E+00
2.891E+03,1.017E+00,4.032E-04,1.000E+00,1.773E-05,1.000E+00
2.892E+03,1.019E+00,3.913E-04,1.000E+00,1.725E-05,1.000E+00
2.893E+03,1.011E+00,3.801E-04,1.000E+00,1.679E-05,1.000E+00
2.894E+03,1.009E+00,3.692E-04,1.000E+00,1.635E-05,1.000E+00
2.895E+03,1.022E+00,3.588E-04,1.000E+00,1.593E-05,1.000E+00
2.896E+03,1.019E+00,3.487E-04,1.000E+00,1.552E-05,1.000E+00
2.897E+03,1.011E+00,3.391E-04,1.000E+00,1.512E-05,1.000E+00
